customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,service_count,avg_monthly_charge
7590-VHVEG,Female,0,Yes,No,-1.2774445836787656,0,No phone service,DSL,0,1,0,0,0,0,Month-to-month,Yes,Electronic check,-1.1603229160349193,-0.9926105235902257,No,-1.0527767083528985,-1.1513023109664546
5575-GNVDE,Male,0,No,No,0.06632741908223598,1,No,DSL,1,0,1,0,0,0,One year,No,Mailed check,-0.2596289419448806,-0.17216470898960817,No,0.03195833033183049,-0.30145801705403386
3668-QPYBK,Male,0,No,No,-1.2367242199587352,1,No,DSL,1,1,0,0,0,0,Month-to-month,Yes,Mailed check,-0.3626603559551803,-0.9580659010627455,Yes,0.03195833033183049,-0.3509658683858858
7795-CFOCW,Male,0,No,No,0.5142514200025698,0,No phone service,DSL,1,0,1,1,0,0,One year,No,Bank transfer (automatic),-0.7465354629935549,-0.1936723762720431,No,0.03195833033183049,-0.7860530228721232
9237-HQITU,Female,0,No,No,-1.2367242199587352,1,No,Fiber optic,0,0,0,0,0,0,Month-to-month,Yes,Electronic check,0.19736523310080326,-0.9388744441030343,Yes,-1.0527767083528985,0.36760245467406755
9305-CDSKC,Female,0,No,No,-0.9924020376385531,1,Yes,Fiber optic,0,0,1,0,1,1,Month-to-month,Yes,Electronic check,1.1595456961969886,-0.6437892489880273,Yes,0.574325849674195,1.2509459276770791
1452-KIOVK,Male,0,No,Yes,-0.4223169455581282,1,Yes,Fiber optic,0,1,0,0,1,0,Month-to-month,Yes,Credit card (automatic),0.8089065291619363,-0.14573785216462656,No,0.03195833033183049,0.7899584439334444
6713-OKOMC,Female,0,No,No,-0.9109613101984924,0,No phone service,DSL,1,0,0,0,0,0,Month-to-month,No,Mailed check,-1.1636465100352518,-0.8725867105812734,No,-1.0527767083528985,-1.1400695187898853
7892-POOKP,Female,0,Yes,No,-0.1779947632379461,1,Yes,Fiber optic,0,0,1,1,1,1,Month-to-month,Yes,Electronic check,1.330710787214099,0.33808539553347106,Yes,1.1166933690165595,1.4566051373804454
6388-TABGU,Male,0,No,Yes,1.2064976032430856,1,No,DSL,1,1,0,0,0,0,One year,No,Bank transfer (automatic),-0.28621769394753876,0.5330441272690194,No,0.03195833033183049,-0.2788692468730852
9763-GRSKD,Male,0,Yes,Yes,-0.7888002190384014,1,No,DSL,1,0,0,0,0,0,Month-to-month,Yes,Mailed check,-0.4922805219681379,-0.7466069281710316,No,-0.510409189010534,-0.644555985172804
7469-LKBCI,Male,0,No,No,-0.6666391278783103,1,No,No,0,0,0,0,0,0,Two year,No,Credit card (automatic),-1.5225946620711341,-0.8616012559077836,No,-1.0527767083528985,-1.4626819176257677
8091-TTVAX,Male,0,Yes,No,1.0436161483629645,1,Yes,Fiber optic,0,0,1,0,1,1,One year,No,Credit card (automatic),1.182810854199314,1.5006244452274227,No,0.574325849674195,1.0985598867522959
0280-XJGEX,Male,0,No,No,0.6771328748826912,1,Yes,Fiber optic,0,1,1,0,1,1,Month-to-month,Yes,Bank transfer (automatic),1.2941512532104444,1.2161496993050833,Yes,1.1166933690165595,1.2581855498857173
5129-JLPIS,Male,0,No,No,-0.30015585439803716,1,No,Fiber optic,1,0,1,1,1,1,Month-to-month,Yes,Electronic check,1.3539759452164248,0.17925954483241316,No,1.6590608883589242,1.4121530142228744
3655-SNQYZ,Female,0,Yes,Yes,1.4915401492832983,1,Yes,Fiber optic,1,1,1,1,1,1,Two year,No,Credit card (automatic),1.611554480242174,2.4774254861848592,No,2.2014284077012887,1.6427709518796938
8191-XWSZG,Female,0,No,No,0.7992939660427822,1,No,No,0,0,0,0,0,0,One year,No,Mailed check,-1.4660935640654862,-0.5544717671146129,No,-1.0527767083528985,-1.48755543650092
9959-WOFKT,Male,0,No,Yes,1.5729808767233588,1,Yes,Fiber optic,1,0,1,0,1,1,Two year,No,Bank transfer (automatic),1.393859073220412,2.251142767227713,No,1.1166933690165595,1.2976232046121297
4190-MFLUW,Female,0,Yes,Yes,-0.9109613101984924,1,No,DSL,0,0,1,1,0,0,Month-to-month,No,Credit card (automatic),-0.31779183695069496,-0.7726808386611219,Yes,0.03195833033183049,-0.39193252220631536
4183-MYFRB,Female,0,No,No,-0.46303730927815856,1,No,Fiber optic,0,1,1,0,0,1,Month-to-month,Yes,Electronic check,0.8404806721650927,-0.18390017462474187,No,0.574325849674195,0.7932765083400707
8779-QRDMV,Male,1,No,No,-1.2774445836787656,0,No phone service,DSL,0,0,1,0,0,1,Month-to-month,Yes,Electronic check,-0.8346107040023594,-0.988286930987808,Yes,-0.510409189010534,-0.8275335952888665
1680-VDCWW,Male,0,Yes,No,-0.8295205827584317,1,No,No,0,0,0,0,0,0,One year,No,Bank transfer (automatic),-1.4943441130683104,-0.9165505884211634,No,-1.0527767083528985,-1.58065376683312
1066-JKSGK,Male,0,No,No,-1.2774445836787656,1,No,No,0,0,0,0,0,0,Month-to-month,No,Mailed check,-1.4827115340671475,-0.9968899979007819,Yes,-1.0527767083528985,-1.4717672642391695
3638-WEABW,Female,0,Yes,No,1.0436161483629645,1,Yes,DSL,0,1,0,1,0,0,Two year,Yes,Credit card (automatic),-0.1615829189350795,0.5406104143232504,No,0.03195833033183049,-0.1409206292829467
6322-HRPFA,Male,0,Yes,Yes,0.6771328748826912,1,No,DSL,1,1,0,1,0,0,Month-to-month,No,Credit card (automatic),-0.17155370093607614,0.3046657894484568,No,0.574325849674195,-0.13478855796496372
6865-JZNKO,Female,0,No,No,-0.0965540357978854,1,No,DSL,1,1,0,0,0,0,Month-to-month,Yes,Bank transfer (automatic),-0.31446824295036285,-0.33050525848019063,No,0.03195833033183049,-0.4518958098547668
6467-CHFZW,Male,0,Yes,Yes,0.5956921474426305,1,Yes,Fiber optic,0,1,0,0,1,1,Month-to-month,Yes,Electronic check,1.1495749141959914,1.0894640242250588,Yes,0.574325849674195,1.2008359356691196
8665-UTDHZ,Male,0,Yes,Yes,-1.2774445836787656,0,No phone service,DSL,0,1,0,0,0,0,Month-to-month,No,Electronic check,-1.1486903370337564,-0.9924561095687108,Yes,-1.0527767083528985,-1.1397391425493977
5248-YGIJN,Male,0,Yes,No,1.6137012404433893,1,Yes,DSL,1,1,1,1,1,1,Two year,Yes,Credit card (automatic),0.8471278601657574,1.8043127072554035,No,2.2014284077012887,0.7851842569733719
8773-HHUOZ,Female,0,No,Yes,-0.62591876415828,1,No,DSL,0,0,0,0,1,1,Month-to-month,Yes,Mailed check,-0.0020504069191315333,-0.5235227853738373,Yes,0.03195833033183049,-0.013156162487586068
3841-NFECX,Female,1,Yes,No,1.5729808767233588,1,Yes,Fiber optic,1,1,1,1,0,0,Two year,Yes,Credit card (automatic),1.0498670941860242,1.9796829174044883,No,1.1166933690165595,1.0113126401447248
4929-XIHVW,Male,1,Yes,No,-1.2367242199587352,1,No,Fiber optic,0,0,1,0,1,1,Month-to-month,Yes,Credit card (automatic),1.0216165451832002,-0.9256389565446128,No,0.574325849674195,0.8631668154050699
6827-IEAUQ,Female,0,Yes,Yes,-0.21871512695797646,1,No,DSL,1,1,1,1,0,0,One year,No,Mailed check,0.046141706085686136,-0.1788045119147496,No,1.1166933690165595,0.1561310703695353
7310-EGVHZ,Male,0,No,No,-1.2774445836787656,1,No,No,0,0,0,0,0,0,Month-to-month,No,Bank transfer (automatic),-1.481049737066981,-0.9968679387548512,No,-1.0527767083528985,-1.4701153830367326
3413-BMNZE,Male,1,No,No,-1.2774445836787656,1,No,DSL,0,0,0,0,0,0,Month-to-month,No,Bank transfer (automatic),-0.6484894399837535,-0.9858163066435692,No,-1.0527767083528985,-0.6425229006159588
6234-RAAPL,Female,0,Yes,Yes,1.6137012404433893,1,Yes,Fiber optic,1,1,0,1,1,0,Two year,No,Bank transfer (automatic),1.1678546811978192,2.193546337202649,No,1.1166933690165595,1.1900098655427482
6047-YHPVI,Male,0,No,No,-1.1145631287986442,1,No,Fiber optic,0,0,0,0,0,0,Month-to-month,Yes,Electronic check,0.16412929309748078,-0.8659689668020626,Yes,-1.0527767083528985,-0.04355077661242093
6572-ADKRS,Female,0,No,No,0.5549717837226001,1,No,Fiber optic,0,0,1,0,0,0,Month-to-month,Yes,Credit card (automatic),0.33363258711442517,0.5596695164073775,No,-0.510409189010534,0.4109463810075691
5380-WJKOV,Male,0,No,No,0.06632741908223598,1,Yes,Fiber optic,0,1,1,0,1,1,Month-to-month,Yes,Electronic check,1.3822264942192488,0.5600886401800608,Yes,1.1166933690165595,1.3113124686778899
8168-UQWWF,Female,0,No,No,-0.8702409464784621,1,Yes,Fiber optic,0,0,1,0,1,1,Month-to-month,Yes,Bank transfer (automatic),1.099721004191008,-0.5180962354748845,Yes,0.574325849674195,1.18250548603976
8865-TNMNX,Male,0,Yes,Yes,-0.9109613101984924,1,No,DSL,0,1,0,0,0,0,One year,No,Mailed check,-0.5055748979694671,-0.7959091193261516,No,-0.510409189010534,-0.5658756128228972
9489-DEDVP,Female,0,Yes,Yes,1.5322605130033284,1,Yes,DSL,1,1,0,0,1,0,Two year,Yes,Credit card (automatic),0.14751132309581955,1.1438177597983101,No,0.574325849674195,0.1621084330909453
9867-JCZSP,Female,0,Yes,Yes,-0.62591876415828,1,No,No,0,0,0,0,0,0,One year,No,Mailed check,-1.462769970065154,-0.8212550780005288,No,-1.0527767083528985,-1.3246526677398092
4671-VJLCL,Female,0,No,No,1.247217966963116,1,Yes,DSL,1,1,1,1,1,0,Two year,Yes,Credit card (automatic),0.5014740841312035,1.1390088659854167,No,1.6590608883589242,0.4119017132695717
4080-IIARD,Female,0,Yes,No,-0.7888002190384014,1,Yes,DSL,1,1,0,1,1,0,Month-to-month,Yes,Electronic check,0.3801629031190768,-0.5727808582370959,No,1.1166933690165595,0.3567381590734262
3714-NTNFO,Female,0,No,No,0.6771328748826912,1,Yes,Fiber optic,0,0,0,0,0,1,Month-to-month,Yes,Electronic check,0.6560212051466532,0.7177894744386527,No,-0.510409189010534,0.4965671799785878
5948-UJZLF,Male,0,No,No,-1.2367242199587352,1,No,DSL,0,1,0,0,0,0,Month-to-month,No,Mailed check,-0.5155456799704636,-0.9629850906052922,No,-0.510409189010534,-0.535150622457575
7760-OYPDY,Female,0,No,No,-1.2367242199587352,1,No,Fiber optic,0,0,0,0,1,0,Month-to-month,Yes,Electronic check,0.5280628361338618,-0.9421833159926397,Yes,-0.510409189010534,0.24371136449131697
7639-LIAYI,Male,0,No,No,0.7992939660427822,1,Yes,DSL,1,0,0,1,1,1,Two year,Yes,Credit card (automatic),0.4981504901308714,0.8550414804194837,No,1.1166933690165595,0.542257124885545
2954-PIBKO,Female,0,Yes,Yes,1.4915401492832983,1,Yes,DSL,1,0,1,1,0,0,Two year,Yes,Credit card (automatic),-0.020330173920958795,0.8710564203651738,No,0.574325849674195,-0.10058616468032108
8012-SOUDQ,Female,1,No,No,0.43281069256250915,1,Yes,Fiber optic,0,1,0,0,1,0,Month-to-month,Yes,Electronic check,0.8471278601657574,0.6878110951188281,No,0.03195833033183049,0.811900874366657
9420-LOJKX,Female,0,No,No,-0.7073594915983407,1,No,Fiber optic,1,1,0,0,1,1,Month-to-month,Yes,Credit card (automatic),1.141265929195161,-0.37647651859977455,Yes,1.1166933690165595,1.0041824073864138
6575-SUVOI,Female,1,Yes,No,-0.30015585439803716,1,Yes,DSL,1,0,0,1,1,0,Month-to-month,Yes,Credit card (automatic),0.1574821050968162,-0.23254059140194083,No,0.574325849674195,0.17866028273936094
7495-OOKFY,Female,1,Yes,No,-0.9924020376385531,1,Yes,Fiber optic,0,1,0,0,0,0,Month-to-month,Yes,Credit card (automatic),0.5280628361338618,-0.7263786913525774,Yes,-0.510409189010534,0.4778655249367153
4667-QONEA,Female,1,Yes,Yes,1.125056875803025,1,No,DSL,1,1,1,1,0,1,One year,Yes,Credit card (automatic),0.33529438411459117,0.9602856656548654,No,1.6590608883589242,0.316311543338409
1658-BYGOY,Male,1,No,No,-0.5851984004382496,1,Yes,Fiber optic,0,0,0,0,1,1,Month-to-month,Yes,Electronic check,1.0199547481830342,-0.2325847096938023,Yes,0.03195833033183049,1.0791961682126212
8769-KKTPH,Female,0,Yes,Yes,1.247217966963116,1,Yes,Fiber optic,1,0,0,0,1,1,One year,Yes,Credit card (automatic),1.1595456961969886,1.778613802246135,No,0.574325849674195,1.172160371438641
5067-XJQFU,Male,1,Yes,Yes,1.369379058123207,1,Yes,Fiber optic,0,1,1,1,1,1,One year,Yes,Electronic check,1.4520219682262263,2.1161849124236753,No,1.6590608883589242,1.4047335647736268
3957-SQXML,Female,0,Yes,Yes,0.06632741908223598,1,Yes,No,0,0,0,0,0,0,Two year,No,Credit card (automatic),-1.3231790220511994,-0.6112299495943104,No,-1.0527767083528985,-1.2684887068569624
5954-BDFSG,Female,0,No,No,1.6137012404433893,1,Yes,Fiber optic,0,0,1,1,1,1,Two year,Yes,Credit card (automatic),1.42044782522307,2.459138454208307,No,1.1166933690165595,1.4662411110613256
0434-CSFON,Female,0,Yes,No,0.5956921474426305,1,Yes,Fiber optic,0,0,1,0,1,1,Month-to-month,Yes,Electronic check,1.1877962451998125,1.0709122824973383,No,0.574325849674195,1.1712778060680724
1215-FIGMP,Male,0,No,No,1.125056875803025,1,Yes,Fiber optic,0,1,0,0,1,0,Month-to-month,Yes,Bank transfer (automatic),0.8354952811645946,1.3989759007787455,No,0.03195833033183049,0.8638275678860444
0526-SXDJP,Male,0,Yes,No,1.6137012404433893,0,No phone service,DSL,1,1,1,0,0,0,Two year,No,Bank transfer (automatic),-0.7531826509942192,0.3010039712239601,No,0.03195833033183049,-0.7783442439274189
0557-ASKVU,Female,0,Yes,Yes,-0.5851984004382496,1,No,DSL,0,0,1,1,0,0,One year,Yes,Credit card (automatic),-0.34438058895335305,-0.5835236623053481,No,0.03195833033183049,-0.3807915012076591
5698-BQJOH,Female,0,No,No,-0.9516816739185228,1,Yes,Fiber optic,0,0,0,0,1,1,Month-to-month,No,Electronic check,0.9850570111795457,-0.6275757767289609,Yes,0.03195833033183049,1.0093583018207155
5122-CYFXA,Female,0,No,No,-1.1960038562387048,1,No,DSL,0,1,0,1,1,1,Month-to-month,Yes,Electronic check,0.3502505571160864,-0.8980870832771656,No,1.1166933690165595,0.5506859546107986
8627-ZYGSZ,Male,0,Yes,No,0.5956921474426305,1,Yes,Fiber optic,0,1,0,0,0,0,One year,Yes,Electronic check,0.46989994112804756,0.6046922332519411,No,-0.510409189010534,0.42845846110000585
